Edition,Rank,Artist,Song,songid,Released
2004,216,The Lovin' Spoonful,Do You Believe in Magic,Do You Believe in MagicThe Lovin' Spoonful,1965
2004,217,Dolly Parton,Jolene,JoleneDolly Parton,1974
2004,218,John Lee Hooker,Boom Boom,Boom BoomJohn Lee Hooker,1962
2004,219,Howlin' Wolf,Spoonful,SpoonfulHowlin' Wolf,2003
2004,220,The Left Banke,Walk Away Renee,Walk Away ReneeThe Left Banke,1967
2004,221,Lou Reed,Walk on the Wild Side,Walk on the Wild SideLou Reed,1973
2004,222,Roy Orbison,"Oh, Pretty Woman","Oh, Pretty WomanRoy Orbison",1964
2004,223,Sly & The Family Stone,Dance to the Music,Dance to the MusicSly & The Family Stone,1968
2004,224,Chic,Good Times,Good TimesChic,1979
2004,225,Muddy Waters,I'm Your Hoochie Coochie Man,I'm Your Hoochie Coochie ManMuddy Waters,1960
2004,226,Van Morrison,Moondance,MoondanceVan Morrison,1970
2004,227,James Taylor,Fire and Rain,Fire and RainJames Taylor,1970
2004,228,The Clash,Should I Stay or Should I Go,Should I Stay or Should I GoThe Clash,1982
2004,229,Muddy Waters,Mannish Boy,Mannish BoyMuddy Waters,1960
2004,230,Bob Dylan,Just Like a Woman,Just Like a WomanBob Dylan,1967
2004,231,Marvin Gaye,Sexual Healing,Sexual HealingMarvin Gaye,1982
2004,232,Roy Orbison,Only the Lonely,Only the LonelyRoy Orbison,1960
2004,233,The Animals,We Gotta Get Out of This Place,We Gotta Get Out of This PlaceThe Animals,1965
2004,234,The Byrds,I'll Feel a Whole Lot Better,I'll Feel a Whole Lot BetterThe Byrds,1965
2004,235,Ray Charles,I've Got a Woman,I've Got a WomanRay Charles,1994
2004,236,Buddy Holly,Everyday,EverydayBuddy Holly,1957
2004,237,Afrika Bambaataa & Soulsonic Force,Planet Rock,Planet RockAfrika Bambaataa & Soulsonic Force,1985
2004,238,Patsy Cline,I Fall to Pieces,I Fall to PiecesPatsy Cline,1961
2004,239,Dion,The Wanderer,The WandererDion,1961
2004,240,Dusty Springfield,Son of a Preacher Man,Son of a Preacher ManDusty Springfield,1969
2004,241,Sly & The Family Stone,Stand,StandSly & The Family Stone,2002
2004,242,Elton John,Rocket Man,Rocket ManElton John,1974
2004,243,The B-52's,Love Shack,Love ShackThe B-52's,1989
2004,244,The Spencer Davis Group,Gimme Some Lovin',Gimme Some Lovin'The Spencer Davis Group,1967
2004,245,The Band,The Night They Drove Old Dixie Down,The Night They Drove Old Dixie DownThe Band,1969
2004,246,Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,(Your Love Keeps Lifting Me) Higher and HigherJackie Wilson,1967
2004,247,Sly & The Family Stone,Hot Fun in the Summertime,Hot Fun in the SummertimeSly & The Family Stone,1969
2004,248,Sugarhill Gang,Rapper's Delight,Rapper's DelightSugarhill Gang,1980
2004,249,Aretha Franklin,Chain of Fools,Chain of FoolsAretha Franklin,1968
2004,250,Black Sabbath,Paranoid,ParanoidBlack Sabbath,1969
2004,251,Bobby Darin,Mack the Knife,Mack the KnifeBobby Darin,1959
2004,252,The Drifters,Money Honey,Money HoneyThe Drifters,1990
