,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
918,2G5GPXdDr6RcIX35McLbpN,It Gets Better,Madchild,0,2013-08-06,False,0.607,0.83,1,-3.504,1,0.435,0.0,0.582,0.374,150.323,226347,4
919,6Q8UmlVjYbwVwaVJWYrKF9,Positive Friction,Donna The Buffalo,43,2000,False,0.805,0.638,0,-9.5,1,0.077,0.391,0.0717,0.969,134.111,246453,4
920,5ODuPCo8UjHSWIagkNY6ZO,The Wizard,Alex Marrero,0,2014-06-24,False,0.53,0.92,2,-6.122,1,0.0106,0.0183,0.214,0.647,99.954,274110,4
921,7KCfl6vusWKee7UbvbPbaM,Deception,Monophonics,0,2012-05-15,False,0.371,0.834,5,-4.237,0,0.521,0.0,0.216,0.534,107.575,292800,3
922,4KoCqdHNqFBMo4iKiMFsfV,"30,000 Ft.",Blue Healer,11,2016-09-09,False,0.546,0.518,10,-8.348,1,0.425,0.00325,0.111,0.105,129.939,221365,4
923,1nUEUSstKFqUZRFbtPaIG2,Don't Ask Me (Bonus Track),Seasick Steve,0,2015-03-23,False,0.671,0.391,7,-13.43,1,0.871,0.0265,0.136,0.288,106.225,448987,4
924,6axOZ4BSW8rj9KbislTMrx,Blind Ambition,Sophia Bastian,28,2016-04-12,False,0.847,0.577,9,-6.875,1,0.212,0.0,0.0627,0.559,122.925,231729,3
925,4TyCnstYu6LGrjka5WW6ft,Fade Away,Rebelution,62,2014-06-10,False,0.685,0.54,9,-9.701,1,0.181,0.015,0.114,0.235,109.926,209253,4
926,4wM2cy9fwrJm0GSEIf6Fnr,Juicy Lucy,Medeski Scofield Martin & Wood,32,2014-09-16,False,0.646,0.514,4,-12.547,0,0.00896,0.764,0.0658,0.889,125.225,427067,4
927,6QLmlBlmZQTGXxRiYp6adS,Tell Me,BROS,0,2016-09-16,False,0.733,0.568,4,-5.938,0,0.199,0.000277,0.108,0.944,100.078,231160,4
928,19iszP3kTNtHoqbNoXeWQf,Burn With Me,Whilk & Misky,28,2015-04-06,False,0.812,0.471,2,-10.7,1,0.425,0.33,0.108,0.109,101.001,269436,4
929,104Yfpy3h5YrHpQ6h01frj,Don't Take My Man to Idaho,Jessica Hernandez and the Deltas,11,2015-05-19,False,0.712,0.684,2,-4.559,1,0.499,0.0,0.082,0.573,200.174,161613,4
930,7g4lcTskgEBwDWrLqwhyca,Bad Blood,Tumbleweed Wanderers,24,2015-06-09,False,0.53,0.364,6,-7.507,0,0.4,0.0149,0.619,0.41,74.958,325259,4
931,0a0eB2Wxm8iU3TbuAoovhp,Bring It On,Spiritual Rez,41,2014-02-15,False,0.872,0.719,7,-4.582,1,0.326,2.57e-05,0.0304,0.788,124.029,289320,4
