,id,title,album,all_artists,artist_tags,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
366,6Knv6wdA0luoMUuuoYi2i1,My House,My House,'Flo Rida',"'dance pop', 'miami hip hop', 'pop', 'pop rap'",80,2015-04-07,False,0.688,0.702,7,-4.792,0,0.0215,0.0,0.128,0.74,94.006,192191,4
367,58q2HKrzhC3ozto2nDdN4z,I Like It,Invasion of Privacy,"'Cardi B', 'Bad Bunny', 'J Balvin'","'pop', 'rap', 'reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino'",80,2018-04-06,True,0.816,0.726,5,-3.998,0,0.099,0.0,0.372,0.65,136.048,253390,4
368,4P5KoWXOxwuobLmHXLMobV,Come As You Are,Nevermind (Remastered),'Nirvana',"'grunge', 'permanent wave', 'rock'",80,1991-09-26,False,0.5,0.824,4,-5.846,0,0.00016,0.00161,0.0916,0.539,120.125,218920,4
369,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),"'Fifth Harmony', 'Ty Dolla $ign'","'girl group', 'pop', 'talent show', 'hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul'",80,2016-05-27,False,0.803,0.585,8,-5.861,1,0.103,3.94e-06,0.0644,0.593,105.017,214480,4
370,4fouWK6XVHhzl78KzQ1UjL,abcdefu,abcdefu,'GAYLE','modern alternative pop',80,2021-08-13,True,0.695,0.54,4,-5.692,1,0.299,0.0,0.367,0.415,121.932,168602,4
371,3P3pw6C19j31Rnzgo3JG7o,Perfect Strangers,Blue,"'Jonas Blue', 'JP Cooper'","'pop', 'pop dance', 'tropical house', 'uk dance', 'uk pop'",80,2018-11-09,False,0.73,0.861,1,-4.1,1,0.39,0.0,0.213,0.704,117.965,196613,4
372,0Aqi7ArnBrGblW5T6p2jmD,Falling,Nicotine,'Trevor Daniel','melodic rap',80,2020-03-26,False,0.785,0.431,10,-8.756,0,0.123,0.0,0.0887,0.236,127.085,159382,4
373,5eqK0tbzUPo2SoeZsov04s,Bank Account,Issa Album,'21 Savage',"'atl hip hop', 'hip hop', 'rap'",80,2017-07-06,True,0.884,0.347,8,-8.227,0,0.015,7e-06,0.0871,0.376,75.016,220307,4
374,7oGZAicScQt96OAW4AruYy,Want to Want Me,Everything Is 4,'Jason Derulo',"'dance pop', 'pop'",80,2015-05-29,False,0.775,0.68,0,-5.508,0,0.00906,0.0,0.109,0.656,114.025,207719,4
375,1Xi84slp6FryDSCbzq4UCD,Arcade,Arcade,'Duncan Laurence','dutch pop',80,2019-03-07,False,0.45,0.329,9,-12.603,0,0.818,0.00109,0.135,0.266,71.884,183624,3
