Date,Setlist_link_text_link,Artist
6/14/2004,https://www.setlist.fm/setlist/life-of-agony/2004/cbgb-new-york-ny-63c4eebb.html,Life of Agony
6/13/2004,https://www.setlist.fm/setlist/some-girls/2004/cbgb-new-york-ny-13cac1e1.html,Some Girls
6/13/2004,https://www.setlist.fm/setlist/daughters/2004/cbgb-new-york-ny-3cac1e7.html,Daughters
6/13/2004,https://www.setlist.fm/setlist/sex-positions/2004/cbgb-new-york-ny-1bcac1e4.html,Sex Positions
6/10/2004,https://www.setlist.fm/setlist/between-the-buried-and-me/2004/cbgb-new-york-ny-43e8af3b.html,Between the Buried and Me
5/31/2004,https://www.setlist.fm/setlist/the-used/2004/cbgb-new-york-ny-23c2d02b.html,The Used
5/5/2004,https://www.setlist.fm/setlist/brides-of-destruction/2004/cbgb-new-york-ny-5bc32fec.html,Brides of Destruction
5/5/2004,https://www.setlist.fm/setlist/living-things/2004/cbgb-new-york-ny-7be6d2a8.html,Living Things
5/5/2004,https://www.setlist.fm/setlist/amen/2004/cbgb-new-york-ny-7b9d9a8c.html,Amen
5/3/2004,https://www.setlist.fm/setlist/superjoint-ritual/2004/cbgb-new-york-ny-7bd64a74.html,Superjoint Ritual
4/19/2004,https://www.setlist.fm/setlist/from-first-to-last/2004/cbgb-new-york-ny-2380785b.html,From First to Last
4/19/2004,https://www.setlist.fm/setlist/underoath/2004/cbgb-new-york-ny-2b80785a.html,Underoath
4/19/2004,https://www.setlist.fm/setlist/the-bled/2004/cbgb-new-york-ny-33807859.html,The Bled
4/19/2004,https://www.setlist.fm/setlist/since-by-man/2004/cbgb-new-york-ny-2380785f.html,Since by Man
4/19/2004,https://www.setlist.fm/setlist/big-collapse/2004/cbgb-new-york-ny-2b80785e.html,Big Collapse
4/17/2004,https://www.setlist.fm/setlist/sparta/2004/cbgb-new-york-ny-43dfdffb.html,Sparta
4/17/2004,https://www.setlist.fm/setlist/brazil/2004/cbgb-new-york-ny-3b8610cc.html,Brazil
4/11/2004,https://www.setlist.fm/setlist/all-out-war/2004/cbgb-new-york-ny-7bfbeefc.html,All Out War
4/11/2004,https://www.setlist.fm/setlist/misery-signals/2004/cbgb-new-york-ny-73fbeef1.html,Misery Signals
4/11/2004,https://www.setlist.fm/setlist/undying/2004/cbgb-new-york-ny-7bfbeef0.html,Undying
4/11/2004,https://www.setlist.fm/setlist/love-is-red/2004/cbgb-new-york-ny-63fbeef7.html,Love Is Red
4/11/2004,https://www.setlist.fm/setlist/scraps-and-heart-attacks/2004/cbgb-new-york-ny-6bfbeef6.html,Scraps and Heart Attacks
