FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
16,Idaho,1980,"659,186   ","429,834   ","397,324   ","32,510   "
17,Illinois,1980,"8,463,613   ","5,531,765   ","5,081,896   ","449,869   "
18,Indiana,1980,"4,008,455   ","2,620,116   ","2,368,618   ","251,498   "
19,Iowa,1980,"2,147,602   ","1,426,731   ","1,342,010   ","84,721   "
20,Kansas,1980,"1,737,519   ","1,179,000   ","1,126,445   ","52,555   "
21,Kentucky,1980,"2,648,553   ","1,658,848   ","1,526,863   ","131,985   "
22,Louisiana,1980,"2,975,702   ","1,768,955   ","1,644,534   ","124,421   "
23,Maine,1980,"826,019   ","506,346   ","468,566   ","37,780   "
24,Maryland,1980,"3,149,488   ","2,144,150   ","2,005,479   ","138,671   "
25,Massachusetts,1980,"4,377,840   ","2,873,352   ","2,708,306   ","165,046   "
26,Michigan,1980,"6,768,893   ","4,324,500   ","3,795,230   ","529,270   "
27,Minnesota,1980,"3,007,350   ","2,102,487   ","1,980,706   ","121,781   "
28,Mississippi,1980,"1,769,652   ","1,047,998   ","971,384   ","76,614   "
29,Missouri,1980,"3,657,455   ","2,328,674   ","2,161,084   ","167,590   "
30,Montana,1980,"574,749   ","372,105   ","348,593   ","23,512   "
31,Nebraska,1980,"1,146,267   ","762,797   ","733,546   ","29,251   "
32,Nevada,1980,"607,134   ","432,812   ","405,362   ","27,450   "
33,New Hampshire,1980,"682,685   ","467,511   ","446,382   ","21,129   "
34,New Jersey,1980,"5,598,129   ","3,583,732   ","3,329,317   ","254,415   "
35,New Mexico,1980,"922,037   ","565,189   ","522,477   ","42,712   "
36,New York,1980,"13,322,426   ","7,981,729   ","7,389,881   ","591,848   "
37,North Carolina,1980,"4,295,955   ","2,854,655   ","2,673,128   ","181,527   "
38,North Dakota,1980,"466,350   ","302,809   ","288,072   ","14,737   "
39,Ohio,1980,"7,989,256   ","5,076,095   ","4,648,020   ","428,075   "
40,Oklahoma,1980,"2,216,676   ","1,365,398   ","1,308,683   ","56,715   "
41,Oregon,1980,"1,974,044   ","1,289,641   ","1,181,775   ","107,866   "
42,Pennsylvania,1980,"9,039,557   ","5,436,045   ","4,991,257   ","444,788   "
44,Rhode Island,1980,"719,856   ","470,502   ","436,578   ","33,924   "
45,South Carolina,1980,"2,221,189   ","1,394,098   ","1,300,398   ","93,700   "
46,South Dakota,1980,"494,466   ","330,945   ","315,306   ","15,639   "
47,Tennessee,1980,"3,397,469   ","2,072,917   ","1,919,912   ","153,005   "
48,Texas,1980,"10,232,341   ","6,773,499   ","6,417,776   ","355,723   "
49,Utah,1980,"962,469   ","632,561   ","592,884   ","39,677   "
50,Vermont,1980,"376,360   ","249,339   ","234,245   ","15,094   "
51,Virginia,1980,"3,890,393   ","2,568,196   ","2,433,545   ","134,651   "
53,Washington,1980,"3,058,630   ","1,977,044   ","1,819,779   ","157,265   "
54,West Virginia,1980,"1,442,468   ","767,789   ","690,097   ","77,692   "
55,Wisconsin,1980,"3,474,314   ","2,349,430   ","2,177,209   ","172,221   "
56,Wyoming,1980,"334,692   ","234,831   ","225,769   ","9,062   "
01,Alabama,1981,"2,858,456   ","1,685,545   ","1,503,812   ","181,733   "
02,Alaska,1981,"276,213   ","200,224   ","181,770   ","18,454   "
04,Arizona,1981,"2,065,717   ","1,279,257   ","1,200,120   ","79,137   "
05,Arkansas,1981,"1,682,439   ","1,017,654   ","930,079   ","87,575   "
06,California,1981,"18,170,107   ","11,893,544   ","11,009,471   ","884,073   "
